Num Warps,Seed,Generation Time,Width,Height,Num Breaches,Num Portals,Density,Exploration,Map Linearity,Path Redundancy,Proximity to Danger,Average Room Size,Room Count
2,1597797881,10.794646501541138,18,16,2,1,0.8115942028985508,0.16741071428571427,0.5913690476190476,0.875,0.125,0.21875,0.2318840579710145
2,1973012375,2.5817558765411377,16,14,2,1,0.8,0.15294117647058822,0.5188888888888888,0.85,0.06666666666666667,0.25,0.2
2,75687526,5.296382188796997,18,14,2,1,0.775,0.2337662337662338,0.4703703703703705,0.7857142857142857,0.16666666666666666,0.41517857142857145,0.11666666666666667
2,676444700,19.432667016983032,17,16,2,1,0.8253968253968254,0.18202764976958527,0.5253968253968254,0.9032258064516129,0.07526881720430108,0.20967741935483872,0.24603174603174602
2,1308815430,4.937803745269775,16,14,2,1,0.8,0.27631578947368424,0.5892857142857143,0.8421052631578947,0.03508771929824561,0.2631578947368421,0.19
2,286677096,21.041187524795532,17,16,2,1,0.8253968253968254,0.11764705882352941,0.5194444444444445,0.9117647058823529,0.058823529411764705,0.19117647058823528,0.2698412698412698
2,1434981184,6.033783197402954,17,14,2,1,0.7818181818181819,0.15135135135135136,0.5652777777777778,0.925,0.125,0.134375,0.36363636363636365
2,1134210202,3.577348470687866,17,14,2,1,0.7818181818181819,0.17763157894736842,0.5656862745098039,0.8421052631578947,0.03508771929824561,0.28289473684210525,0.17272727272727273
2,1014479210,4.252848863601685,16,16,2,1,0.8421052631578947,0.11778846153846154,0.5798469387755102,0.8125,0.08854166666666667,0.1875,0.2807017543859649
2,532234917,22.966597318649292,17,16,2,1,0.8253968253968254,0.13023255813953488,0.5237499999999999,0.9302325581395349,0.05426356589147287,0.1511627906976744,0.3412698412698413
2,516542896,7.783977508544922,16,16,2,1,0.8421052631578947,0.18421052631578946,0.5509803921568628,0.8421052631578947,0.10526315789473684,0.3157894736842105,0.16666666666666666
2,219007135,4.3513476848602295,17,14,2,1,0.7818181818181819,0.2823529411764706,0.7274509803921569,0.85,0.1,0.26875,0.18181818181818182
2,1022666465,9.016356468200684,17,16,2,1,0.8253968253968254,0.08447802197802198,0.5492753623188407,0.9285714285714286,0.05357142857142857,0.11607142857142858,0.4444444444444444
2,1245398104,5.639455318450928,17,14,2,1,0.7818181818181819,0.22941176470588234,0.6479166666666667,0.85,0.08333333333333333,0.26875,0.18181818181818182
